#{"t_start": 1727809943.5609581, "env_id": "NetworkEnv-v0"}
r,l,t,distance,sum_rate
6480.980812,200,2122.45839,9.0,28.791343210567042
6086.837564,200,2128.991318,9.055385138137417,28.797132621129734
6045.877294,200,2137.834984,19.697715603592208,28.72212849113563
6237.929686,200,2143.818836,8.06225774829855,28.789189060285977
6068.485508,200,2153.169806,14.7648230602334,28.764586816818664
6139.847011,200,2161.160372,9.219544457292887,28.749014889257555
6363.21927,200,2171.663094,10.198039027185569,28.722849275830804
6213.488686,200,2177.319818,13.416407864998739,28.830259835119172
6262.751128,200,2198.726609,12.041594578792296,28.81695807416084
6018.49501,200,2207.595871,16.401219466856727,28.818440440610658
5942.109909,200,2214.515878,15.0,28.676729291853654
6087.948734,200,2225.101878,20.024984394500787,28.76663298956898
6227.946221,200,2233.235417,9.486832980505138,28.831934486392985
6445.185766,200,2241.148984,5.0,28.813899782257206
5760.104271,200,2248.820048,32.802438933713454,28.80052135372882
6063.124844,200,2255.863903,14.0,28.755221308668308
6105.229459,200,2263.529204,20.518284528683193,28.752800615728244
6556.115575,200,2270.570301,9.219544457292887,28.74780344495215
5768.970499,200,2276.25245,23.259406699226016,28.75130639169042
6027.859127,200,2294.851554,14.142135623730951,28.752762395485586
6278.738879,200,2301.8147,8.602325267042627,28.697944263633673
6347.667232,200,2308.305502,12.041594578792296,28.85546837359466
5962.684372,200,2319.26073,19.4164878389476,28.77556758898443
7340.616158,200,2325.714054,2.8284271247461903,28.766336162881675
5811.527347,200,2334.056214,21.2602916254693,28.79889475634926
6299.732906,200,2339.986571,8.602325267042627,28.724495603381833
6295.756834,200,2348.870014,6.708203932499369,28.743397393739727
5937.704609,200,2354.643844,12.529964086141668,28.789562557364228
6852.315374,200,2361.240795,8.06225774829855,28.796347537147653
5742.545206,200,2382.168969,34.539832078341085,28.712726029900637
6295.869127,200,2390.833097,8.06225774829855,28.742887587234904
6170.821881,200,2400.869654,10.63014581273465,28.767582995081135
6804.599032,200,2408.262778,6.4031242374328485,28.772406273705737
6479.923452,200,2416.234192,7.211102550927978,28.719089651228188
6427.877597,200,2424.322676,6.4031242374328485,28.73506520766204
6499.164992,200,2435.727407,6.324555320336759,28.801386081434693
6481.537499,200,2444.905596,8.06225774829855,28.820793465260806
6000.415113,200,2455.379755,15.811388300841896,28.76799363091847
6321.294913,200,2463.480184,12.041594578792296,28.832742543572444
6641.684913,200,2482.38263,10.63014581273465,28.790676857331572
6649.035448,200,2491.825501,6.0,28.73049819922788
6579.317765,200,2500.640968,4.123105625617661,28.766864308279825
6371.409554,200,2511.777822,8.0,28.74910639772587
6290.054854,200,2517.680995,18.24828759089466,28.76709543520655
6569.22433,200,2527.140718,10.44030650891055,28.836855694716384
6202.182457,200,2535.914196,9.848857801796104,28.797251108791638
6040.34509,200,2543.612378,14.0,28.707406544841696
6250.146632,200,2548.365452,12.041594578792296,28.831723496743486
6368.870955,200,2555.045938,24.698178070456937,28.76271055960648
6324.308632,200,2567.10489,10.44030650891055,28.786983834432295
6515.705742,200,2573.171629,14.212670403551895,28.740738210628656
6825.873528,200,2578.911787,10.816653826391969,28.62352004237892
6250.034083,200,2586.122241,26.0,28.8034580702155
6476.394608,200,2591.471898,8.0,28.739796586185566
6547.980147,200,2598.05035,23.706539182259394,28.769170355200025
6524.439558,200,2603.874492,9.055385138137417,28.804341097523622
6502.724931,200,2608.178368,6.324555320336759,28.789101344604546
5761.358672,200,2615.819098,26.30589287593181,28.725240792185787
6194.741628,200,2621.893899,18.439088914585774,28.76021919550393
6657.007693,200,2635.178738,6.4031242374328485,28.7504915715279
6406.753495,200,2642.12024,10.63014581273465,28.81438030854922
6057.217605,200,2649.704043,20.615528128088304,28.756509654492756
6399.224183,200,2655.802937,8.246211251235321,28.69320022459982
6333.789634,200,2663.472214,3.0,28.784189203213817
6141.062754,200,2668.735865,8.06225774829855,28.75345223049492
6323.657791,200,2677.954948,5.830951894845301,28.759342133403628
6661.388679,200,2683.252344,10.770329614269007,28.76721484042262
6425.338535,200,2692.205533,3.0,28.794597008755932
7180.700184,200,2698.072628,8.602325267042627,28.77063203984151
6754.67252,200,2706.053397,0.0,28.78068639552294
6594.499163,200,2722.343343,23.706539182259394,28.779789079188983
6121.71885,200,2728.997021,9.219544457292887,28.788302957972647
6440.561612,200,2736.411747,7.0710678118654755,28.787513952907688
6369.898126,200,2743.217034,12.041594578792296,28.799412314619516
6276.929312,200,2749.335725,5.0990195135927845,28.776396364214857
6659.874146,200,2758.165482,3.0,28.75252338994004
6136.271166,200,2763.765111,8.06225774829855,28.79735022949314
6516.51832,200,2775.085878,5.0990195135927845,28.783647577546915
6135.019107,200,2783.122506,15.264337522473747,28.803495579755833
6046.954172,200,2793.242628,24.20743687382041,28.76505984193601
6851.384794,200,2809.284846,7.280109889280518,28.824226202389802
6398.990041,200,2817.739955,14.142135623730951,28.76143647624637
6314.935177,200,2827.635699,2.23606797749979,28.745693874616016
6510.937362,200,2834.379311,13.038404810405298,28.72391670717587
6796.591708,200,2843.909574,9.848857801796104,28.798875072702216
6211.139999,200,2849.929072,6.708203932499369,28.786825497702416
5966.750068,200,2857.964603,19.235384061671343,28.737651305165127
7306.306573,200,2864.74895,13.601470508735444,28.877756831037935
6500.793662,200,2871.126506,3.605551275463989,28.792141751022843
6875.0999,200,2878.933035,6.0,28.85117744715702
6617.130975,200,2889.781539,7.211102550927978,28.750801254936363
6899.189902,200,2898.178017,4.123105625617661,28.75477831102215
6319.371794,200,2906.942092,7.0,28.744184581235064
7139.577072,200,2914.856163,8.06225774829855,28.722055143068275
6759.409745,200,2921.473238,3.1622776601683795,28.545431243929478
6517.936396,200,2926.807541,12.041594578792296,28.783376386881237
6421.213567,200,2934.987297,11.40175425099138,28.809228922525204
6536.948948,200,2940.427727,2.0,28.702845532684254
6984.26988,200,2947.229742,7.280109889280518,28.819473164735243
6550.025261,200,2954.019984,4.123105625617661,28.831168276199755
6387.884472,200,2965.16128,12.041594578792296,28.733421611204236
6243.045212,200,2973.539418,17.46424919657298,28.763173938105936
6374.307179,200,2984.986512,6.082762530298219,28.783429964301025
6297.434075,200,2996.468932,11.045361017187261,28.749036079379877
6097.027954,200,3003.543723,9.055385138137417,28.71523359350343
6859.40372,200,3012.71647,11.045361017187261,28.81542546268303
6542.875502,200,3019.528656,10.770329614269007,28.811130587993013
6984.862176,200,3029.015573,14.560219778561036,28.799261345227684
6259.024302,200,3037.622895,9.433981132056603,28.7819918249734
6098.156289,200,3048.31256,13.152946437965905,28.757937902430356
7083.82132,200,3058.940038,19.6468827043885,28.751328695105002
6386.875862,200,3072.462699,7.0710678118654755,28.80265234896372
6495.483208,200,3079.153855,18.0,28.80992240301093
6645.955125,200,3086.304217,7.0710678118654755,28.660616715991836
6777.735025,200,3093.670108,10.04987562112089,28.817201031838877
6496.740487,200,3099.823411,5.656854249492381,28.78897678991797
6257.10345,200,3108.801359,8.246211251235321,28.811550490716037
6202.975796,200,3114.977878,7.810249675906654,28.704874315629922
6769.400897,200,3123.745904,6.082762530298219,28.816749173030935
6549.800279,200,3129.340855,12.206555615733702,28.74931657729976
6283.101428,200,3139.112177,8.54400374531753,28.764865800547224
6289.005772,200,3151.623954,10.770329614269007,28.71414035678258
6179.924707,200,3158.910669,10.04987562112089,28.81195191228138
6751.692625,200,3165.318102,16.0,28.786666915970976
6943.101495,200,3174.368199,4.0,28.827238208131114
6750.278529,200,3180.204596,12.206555615733702,28.778780563152466
6442.197479,200,3189.281228,4.47213595499958,28.777119170007317
6691.092997,200,3195.204219,5.385164807134504,28.796253785398513
6525.577755,200,3203.687928,15.524174696260024,28.794596669302127
6375.75125,200,3209.788343,13.416407864998739,28.8015669862439
6431.558453,200,3217.220117,7.810249675906654,28.75356461108476
7167.010088,200,3231.162207,1.4142135623730951,28.709945845160487
